trials.thisRepN,resp_Q.corr,Participant,Group,targetOnset.rt,FreqBNCSpoken.log
0,1,316397,L2,0.4213111,5.85220248
0,1,700064,L2,0.4095871,5.85220248
0,1,3121,L2,0.4953884,5.85220248
0,1,373596,L2,0.833071,5.85220248
1,1,373596,L2,0.3943401,5.85220248
1,1,3121,L2,0.4943319,5.85220248
0,1,617211,L2,0.3125196,5.85220248
0,1,917009,L2,0.3585127,5.85220248
1,0,864280,L2,0.3869392,5.85220248
0,1,959490,L2,0.4196942,5.85220248
0,1,648557,L2,0.4537985,5.85220248
1,1,959490,L2,0.3680643,5.85220248
0,1,331100,L2,2.0542347,5.85220248
0,1,864280,L2,0.3593322,5.85220248
0,1,376188,L2,-0.4096226,5.85220248
1,1,173085,L2,0.3768203,5.85220248
0,1,697760,L2,0.3783463,5.85220248
1,1,998663,L2,0.3911928,5.85220248
1,1,922683,L2,0.5187649,5.85220248
1,1,379265,L2,0.330271,5.85220248
1,1,843976,L2,0.2943354,5.85220248
0,1,248930,L2,-0.605833,5.85220248
0,1,501349,L2,0.3329997,5.85220248
1,1,69771,L2,0.7670285,5.85220248
0,1,379265,L2,0.3715413,5.85220248
1,1,792988,L2,0.3546805,5.85220248
1,1,3121,L2,0.4339352,5.85220248
1,1,998663,L2,0.4093434,5.85220248
1,1,631538,L2,0.4705002,5.85220248
1,0,572187,L2,0.2837405,5.85220248
1,0,697760,L2,0.9542944,5.85220248
1,0,901980,L2,0.3167311,5.85220248
1,1,911462,L2,0.3730833,5.85220248
0,1,862825,L2,0.3327507,5.85220248
1,1,159491,L2,0.4338074,5.85220248
0,1,3121,L2,0.7882351,5.85220248
1,1,108486,L2,0.9755919,5.85220248
1,1,735448,L2,0.1850698,5.85220248
0,1,767065,L2,0.6070897,5.85220248
0,0,886168,L2,0.5612745,5.85220248
0,1,617211,L2,0.366098,5.85220248
1,0,717501,L2,1.8170313,5.85220248
0,1,452163,L2,0.4389321,5.85220248
0,1,572187,L2,0.2362228,5.85220248
1,0,187490,L2,0.2407396,5.85220248
1,1,248930,L2,-0.6270626,5.85220248
0,1,607827,L2,0.7484806,5.85220248
1,1,251621,L2,0.4981627,5.85220248
1,1,783049,L2,0.2444183,5.85220248
0,1,998663,L2,0.4904597,5.85220248
0,1,864280,L2,0.4305659,5.85220248
0,1,964675,L2,0.2991424,5.85220248
1,1,331100,L2,0.4481653,5.85220248
1,1,15711,L2,0.3093055,5.85220248
1,1,514305,L2,0.7805396,5.85220248
1,0,886168,L2,0.7569418,5.85220248
0,1,216249,L2,0.301714,5.85220248
1,1,306328,L2,0.3467343,5.85220248
0,1,108486,L2,0.5373708,5.85220248
0,1,697259,L2,0.8974472,5.85220248
0,1,648557,L2,1.0555481,5.85220248
0,1,911462,L2,1.4975792,5.85220248
0,0,316397,L2,0.3186619,5.85220248
1,1,617211,L2,0.2968016,5.85220248
1,1,790740,L2,0.653265,5.85220248
0,1,514305,L2,0.6066776,5.85220248
0,1,922683,L2,0.6223394,5.85220248
1,1,336257,L2,0.3459925,5.85220248
0,1,843976,L2,0.4722912,5.85220248
0,1,929015,L2,0.3111537,5.85220248
0,1,501349,L2,0.304712,5.85220248
1,1,843976,L2,0.2635923,5.85220248
0,1,15711,L2,0.3441924,5.85220248
1,0,752128,L2,0.3268481,5.85220248
1,1,379265,L2,0.5873327,5.85220248
0,1,544005,L2,1.0512401,5.85220248
0,1,159491,L2,0.3446537,5.85220248
0,1,959490,L2,0.3699065,5.85220248
1,1,929015,L2,0.5819386,5.85220248
1,1,544005,L2,0.3541457,5.85220248
0,1,774770,L2,0.5853499,5.85220248
0,1,716031,L2,0.6856728,5.85220248
1,0,767065,L2,0.2669114,5.85220248
1,1,85913,L2,0.5726961,5.85220248
0,1,901980,L2,0.4104881,5.85220248
1,1,871398,L2,0.8877118,5.85220248
0,1,792988,L2,0.403192,5.85220248
0,1,447513,L2,0.4719204,5.85220248
1,1,774770,L2,0.5284077,5.85220248
0,1,85913,L2,0.6957694,5.85220248
1,1,964675,L2,0.3948462,5.85220248
0,1,306328,L2,0.5594687,5.85220248
1,1,452163,L2,0.586937,5.85220248
0,0,702640,L2,0.7003022,5.85220248
1,1,917009,L2,0.3206891,5.85220248
0,1,248930,L2,-0.6320019,5.85220248
1,1,607827,L2,0.1994313,5.85220248
0,0,147512,L2,0.3180983,5.85220248
1,1,700064,L2,0.2569602,5.85220248
1,0,864280,L2,0.2794933,5.85220248
0,1,735448,L2,0.4038171,5.85220248
0,1,183117,L2,0.5565486,5.85220248
0,0,697760,L2,0.7304006,5.85220248
1,0,316397,L2,0.1996286,5.85220248
0,1,631538,L2,0.476034,5.85220248
1,1,147512,L2,0.2639623,5.85220248
0,1,69771,L2,0.690811,5.85220248
1,1,501349,L2,0.2627321,5.85220248
0,1,331100,L2,0.415881,5.85220248
1,1,586804,L2,0.277697,5.85220248
0,1,376188,L2,-0.3255687,5.85220248
0,1,790740,L2,0.9139299,5.85220248
0,1,373596,L2,0.4787327,5.85220248
0,1,336257,L2,0.3848724,5.85220248
0,1,917009,L2,0.3154867,5.85220248
1,1,373596,L2,0.3034883,5.85220248
1,1,216249,L2,0.1722396,5.85220248
0,1,783049,L2,0.3981477,5.85220248
1,1,648557,L2,0.3740786,5.85220248
0,0,752128,L2,0.3817096,5.85220248
0,0,187490,L2,0.5606606,5.85220248
0,0,154393,L2,0.3602344,5.85220248
1,1,716031,L2,0.6108581,5.85220248
1,1,697259,L2,0.7496245,5.85220248
1,1,862825,L2,0.2364931,5.85220248
1,0,702640,L2,0.614969,5.85220248
0,0,672285,L2,0.4162287,5.85220248
1,1,672285,L2,0.3745176,5.85220248
0,1,251621,L2,0.4802491,5.85220248
1,1,302458,L2,0.4475267,5.85220248
1,1,959490,L2,0.3296221,5.85220248
1,1,922683,L2,0.4598984,5.85220248
1,1,173085,L2,0.2748907,5.85220248
0,1,700064,L2,0.2694022,5.85220248
1,0,154393,L2,0.3062067,5.85220248
1,1,183117,L2,0.2738328,5.85220248
0,1,173085,L2,0.3215532,5.85220248
0,1,302458,L2,0.3438478,5.85220248
1,1,376188,L2,0.3689053,5.85220248
1,1,248930,L2,-1.27983,4.828313737
0,1,702640,L2,0.4259827,4.828313737
1,1,316397,L2,0.2118368,4.828313737
1,1,964675,L2,0.2219593,4.828313737
1,1,447513,L2,0.4483147,4.828313737
0,1,173085,L2,0.5546208,4.828313737
0,1,735448,L2,0.3288276,4.828313737
0,1,316397,L2,0.4059879,4.828313737
1,1,617211,L2,0.3660507,4.828313737
1,1,108486,L2,0.2996486,4.828313737
0,1,700064,L2,0.013677,4.828313737
1,1,331100,L2,0.2362398,4.828313737
0,0,302458,L2,0.2797602,4.828313737
1,1,187490,L2,0.3882728,4.828313737
1,1,735448,L2,0.5331782,4.828313737
0,1,792988,L2,0.4683825,4.828313737
0,1,336257,L2,0.5177988,4.828313737
1,0,586804,L2,0.3647428,4.828313737
1,1,716031,L2,0.4607678,4.828313737
1,1,251621,L2,0.5153962,4.828313737
1,1,379265,L2,0.2934772,4.828313737
1,1,767065,L2,0.558805,4.828313737
0,1,607827,L2,0.5284835,4.828313737
0,1,959490,L2,0.5447762,4.828313737
0,1,159491,L2,0.328443,4.828313737
1,0,69771,L2,0.3347901,4.828313737
0,1,251621,L2,0.6918388,4.828313737
0,1,379265,L2,0.5456336,4.828313737
1,1,159491,L2,0.1507936,4.828313737
1,1,173085,L2,0.5418882,4.828313737
1,1,752128,L2,0.486444,4.828313737
1,1,911462,L2,0.2857746,4.828313737
1,1,959490,L2,0.3422709,4.828313737
0,1,586804,L2,0.3410323,4.828313737
0,1,108486,L2,0.2254447,4.828313737
0,1,864280,L2,0.6910253,4.828313737
1,0,697760,L2,0.6117668,4.828313737
0,1,147512,L2,0.5319971,4.828313737
1,1,901980,L2,0.2878313,4.828313737
1,1,306328,L2,0.5957939,4.828313737
0,1,886168,L2,0.5567451,4.828313737
1,1,774770,L2,0.3809105,4.828313737
0,0,447513,L2,0.566402,4.828313737
0,1,790740,L2,0.4352809,4.828313737
0,1,917009,L2,0.4505941,4.828313737
1,1,631538,L2,0.3786337,4.828313737
1,1,572187,L2,0.111037,4.828313737
1,1,373596,L2,0.3155134,4.828313737
0,1,783049,L2,0.4803496,4.828313737
1,1,929015,L2,0.2985731,4.828313737
0,1,154393,L2,0.4623008,4.828313737
0,1,716031,L2,0.7166435,4.828313737
0,1,929015,L2,0.4837966,4.828313737
1,1,917009,L2,0.3963673,4.828313737
1,1,147512,L2,0.0461007,4.828313737
0,1,998663,L2,0.4488524,4.828313737
1,1,886168,L2,0.4885914,4.828313737
1,0,452163,L2,0.4353864,4.828313737
1,0,922683,L2,0.5145274,4.828313737
1,1,700064,L2,0.110716,4.828313737
1,1,783049,L2,0.419312,4.828313737
0,1,871398,L2,0.5575499,4.828313737
0,1,964675,L2,0.577501,4.828313737
1,1,216249,L2,0.1682973,4.828313737
0,1,187490,L2,0.1537376,4.828313737
1,0,514305,L2,0.4439248,4.828313737
1,1,648557,L2,0.5762431,4.828313737
0,1,331100,L2,0.3832504,4.828313737
1,1,792988,L2,0.5182638,4.828313737
1,1,544005,L2,0.3348542,4.828313737
1,1,85913,L2,0.1364878,4.828313737
1,1,501349,L2,0.0918631,4.828313737
0,1,15711,L2,0.4096994,4.828313737
1,1,154393,L2,0.0682626,4.828313737
1,1,336257,L2,0.4917876,4.828313737
0,0,452163,L2,0.5321787,4.828313737
0,1,376188,L2,-1.1789877,4.828313737
1,0,183117,L2,0.5853338,4.828313737
0,0,697760,L2,0.9129303,4.828313737
1,1,376188,L2,0.3213544,4.828313737
1,1,702640,L2,0.5838249,4.828313737
1,1,864280,L2,0.080314,4.828313737
0,1,514305,L2,0.0701303,4.828313737
1,1,871398,L2,0.2553632,4.828313737
0,1,183117,L2,0.557245,4.828313737
0,1,572187,L2,0.2608007,4.828313737
0,1,717501,L2,0.4410715,4.828313737
0,1,306328,L2,0.9835391,4.828313737
0,1,752128,L2,0.3191972,4.828313737
0,1,767065,L2,0.3510058,4.828313737
0,1,911462,L2,0.8357112,4.828313737
0,1,248930,L2,-1.3535285,4.828313737
0,1,901980,L2,0.3797675,4.828313737
0,1,672285,L2,0.6350713,4.828313737
0,1,631538,L2,0.461958,4.828313737
1,1,3121,L2,0.53126,4.828313737
0,1,216249,L2,0.2640868,4.828313737
0,1,617211,L2,0.6111041,4.828313737
0,1,501349,L2,0.6121418,4.828313737
1,0,302458,L2,-0.1944976,4.828313737
1,1,15711,L2,0.5568326,4.828313737
1,1,843976,L2,0.4932966,4.828313737
0,1,774770,L2,1.0007536,4.828313737
0,1,373596,L2,0.5848457,4.828313737
1,1,697259,L2,0.7242639,4.828313737
0,0,922683,L2,0.5564762,4.828313737
1,1,672285,L2,0.338635,4.828313737
0,1,843976,L2,0.2672157,4.828313737
1,1,607827,L2,1.8100995,4.828313737
1,1,717501,L2,0.2633177,4.828313737
0,1,862825,L2,0.2980463,4.828313737
0,1,69771,L2,0.3472631,4.828313737
0,1,697259,L2,0.4853089,4.828313737
1,1,998663,L2,0.2495412,4.828313737
1,1,790740,L2,0.2543891,4.828313737
1,1,862825,L2,0.2907184,4.828313737
0,1,544005,L2,0.3759448,4.828313737
0,1,648557,L2,0.5399716,4.828313737
0,1,85913,L2,0.4428118,4.828313737
0,1,3121,L2,0.470671,4.828313737
0,1,783049,L2,0.665459,4.828313737
1,1,792988,L2,0.5025673,4.828313737
0,1,336257,L2,0.0416135,4.828313737
0,1,3121,L2,0.9566245,4.828313737
1,1,379265,L2,0.4080666,4.828313737
0,1,183117,L2,0.5288318,4.828313737
0,1,159491,L2,0.4356854,4.828313737
0,1,607827,L2,0.5906016,4.828313737
1,1,862825,L2,0.4008964,4.828313737
1,1,783049,L2,0.2860026,4.828313737
0,1,774770,L2,0.5913593,4.828313737
1,1,911462,L2,0.5899738,4.828313737
0,1,514305,L2,0.6137838,4.828313737
0,1,452163,L2,0.4954642,4.828313737
0,0,302458,L2,0.4360658,4.828313737
0,1,843976,L2,0.695957,4.828313737
1,0,752128,L2,0.2497136,4.828313737
0,1,85913,L2,0.5497403,4.828313737
1,1,376188,L2,0.198412,4.828313737
1,1,901980,L2,0.5252511,4.828313737
0,0,173085,L2,0.4728142,4.828313737
0,1,998663,L2,0.2488034,4.828313737
1,1,216249,L2,0.1844489,4.828313737
1,1,514305,L2,-0.0072213,4.828313737
1,1,108486,L2,0.411284,4.828313737
0,1,248930,L2,-1.1765572,4.828313737
1,1,886168,L2,0.4388413,4.828313737
1,1,173085,L2,0.6062368,4.828313737
0,1,964675,L2,0.4798002,4.828313737
1,1,929015,L2,0.5689726,4.828313737
0,1,316397,L2,0.4238855,4.828313737
1,1,306328,L2,0.2995911,4.828313737
0,1,376188,L2,-0.984492,4.828313737
0,1,735448,L2,0.4837565,4.828313737
0,1,373596,L2,0.2497282,4.828313737
1,1,964675,L2,0.2633203,4.828313737
1,1,717501,L2,0.2566157,4.828313737
1,1,251621,L2,0.4915694,4.828313737
1,1,572187,L2,0.2580273,4.828313737
0,0,69771,L2,0.5319711,4.828313737
1,1,373596,L2,0.0348625,4.828313737
0,1,154393,L2,0.2174272,4.828313737
0,1,501349,L2,0.0743338,4.828313737
1,1,716031,L2,0.530037,4.828313737
0,0,216249,L2,0.5482248,4.828313737
0,1,306328,L2,0.6006854,4.828313737
0,1,917009,L2,0.4491882,4.828313737
0,1,697760,L2,0.7772131,4.828313737
1,1,187490,L2,0.2269929,4.828313737
0,1,15711,L2,0.4337187,4.828313737
0,0,447513,L2,0.6868182,4.828313737
