Pinyin_T,onset,Pinyin,tone,onset.type,syllable,syllable2,syllable3,syllable4,syllable.type,gap_narrow,gap_broad,token frequency,type frequency,Number of gaps,Probability,PND.C_G_V_C,PND.C_G_V_X,NF.C_G_V_C,NF.C_G_V_X
ang1,0,ang,1,onsetless,VN,VN,CVN,CVN/CGVN,close,N,N,24,24,3,0.00485912,25,27,163595.35,167695.183
ang2,0,ang,2,onsetless,VN,VN,CVN,CVN/CGVN,close,Y,N,0,24,3,0.00485912,25,27,163595.35,167695.183
ang3,0,ang,3,onsetless,VN,VN,CVN,CVN/CGVN,close,Y,N,0,24,3,0.00485912,25,27,163595.35,167695.183
ang4,0,ang,4,onsetless,VN,VN,CVN,CVN/CGVN,close,Y,N,0,24,3,0.00485912,25,27,163595.35,167695.183
en1,0,en,1,onsetless,VN,VN,CVN,CVN/CGVN,close,N,N,24,24,3,0,24,23,82305.745,84888.458
en2,0,en,2,onsetless,VN,VN,CVN,CVN/CGVN,close,Y,Y,0,24,3,0,24,23,82305.745,84888.458
en3,0,en,3,onsetless,VN,VN,CVN,CVN/CGVN,close,Y,Y,0,24,3,0,24,23,82305.745,84888.458
en4,0,en,4,onsetless,VN,VN,CVN,CVN/CGVN,close,Y,N,0,24,3,0,24,23,82305.745,84888.458
wan1,0,wan,1,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,757,2193,0,0.352790702,58,57,34035.163,34115.927
wan2,0,wan,2,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,917,2193,0,0.352790702,58,57,34035.163,34115.927
wan3,0,wan,3,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,271,2193,0,0.352790702,58,57,34035.163,34115.927
wan4,0,wan,4,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,248,2193,0,0.352790702,58,57,34035.163,34115.927
wang1,0,wang,1,onsetless,CVN,CVN,CVN,CVN/CGVN,close,Y,N,0,1238,1,0.28397972,38,39,31382.727,30608.413
wang2,0,wang,2,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,87,1238,1,0.28397972,38,39,31382.727,30608.413
wang3,0,wang,3,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,921,1238,1,0.28397972,38,39,31382.727,30608.413
wang4,0,wang,4,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,230,1238,1,0.28397972,38,39,31382.727,30608.413
wen1,0,wen,1,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,56,1707,0,0.394571168,31,29,77418.799,77438.193
wen2,0,wen,2,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,843,1707,0,0.394571168,31,29,77418.799,77438.193
wen3,0,wen,3,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,50,1707,0,0.394571168,31,29,77418.799,77438.193
wen4,0,wen,4,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,758,1707,0,0.394571168,31,29,77418.799,77438.193
weng1,0,weng,1,onsetless,CVN,CVN,CVN,CVN/CGVN,close,N,N,8,8,3,0.002934059,25,25,17263.774,17263.774
