LanguageName,InventoryID,ISO6393,Glottocode,Source,name,isocodes,level,macroarea,latitude,longitude,SegmentN
Apiaká,2071,api,apia1248,saphon,Apiaká,api,language,South America,-7.84711,-57.91,22
Apinaye,122,apn,apin1244,spa,Apinayé,apn,language,South America,-6.10774,-47.6315,49
APINAYE,226,apn,apin1244,upsid,Apinayé,apn,language,South America,-6.10774,-47.6315,30
Apinayé,1953,apn,apin1244,saphon,Apinayé,apn,language,South America,-6.10774,-47.6315,34
Apurinã,1804,apu,apur1254,saphon,Apurinã,apu,language,South America,-8.21692,-66.7714,74
Apurinã,1092,apu,apur1254,ph,Apurinã,apu,language,South America,-8.21692,-66.7714,74
Arabana,2761,ard,arab1267,er,Arabana,ard,language,Australia,-28.705,135.449,24
Arabe,659,apd,suda1236,aa,Sudanese Arabic,apd,language,Africa,17.8021,33.3179,62
Arabela,2139,arl,arab1268,saphon,Arabela,arl,language,South America,-1.96126,-75.0612,29
ARABELA,229,arl,arab1268,upsid,Arabela,arl,language,South America,-1.96126,-75.0612,18
Arabic,2157,arb,stan1318,uz,Standard Arabic,arb,language,Eurasia,27.9625,43.8525,37
ARABIC,231,arz,egyp1253,upsid,Egyptian Arabic,arz,language,Africa,31,31,35
Aragonese,1055,arg,arag1245,ph,Aragonese,arg,language,Eurasia,42.4669,-0.00919,72
Arandai,1166,jbj,aran1237,ph,Dombano,jbj,language,Papunesia,-2.08016,132.983,18
Araona,2044,aro,arao1248,saphon,Araona,aro,language,South America,-12.4242,-67.7293,23
Arapesh,1167,aon,bumb1241,ph,Bumbita Arapesh,aon,language,Papunesia,-3.65508,142.859,22
Arara do Acre,1999,mcd,shar1245,saphon,Sharanahua,mcd,language,South America,-9.8626,-71.1232,22
Arára do Mato Grosso,2119,axg,mato1253,saphon,Mato Grosso Arára,axg,language,South America,-9.172609,-60.628867,33
Arára, Pará,1864,aap,para1310,saphon,Pará Arára,aap,language,South America,-3.71263,-53.0657,17
Araucanian,106,arn,mapu1245,spa,Mapudungun,arn,language,South America,-38.7392,-71.277,26
ARAUCANIAN,230,arn,mapu1245,upsid,Mapudungun,arn,language,South America,-38.7392,-71.277,26
Araweté,2072,awt,araw1273,saphon,Araweté,awt,language,South America,-4.90246,-52.5001,21
Arbore,1525,arv,arbo1245,gm,Arbore,arv,language,Africa,4.92183,36.7986,59
ARCHI,228,aqc,arch1244,upsid,Archi,aqc,language,Eurasia,42.3239,46.8267,91
Argobba,1396,agj,argo1244,gm,Argobba,agj,language,Africa,10.6596,39.756,38
Arikapú,1954,ark,arik1265,saphon,Arikapú,ark,language,South America,-12.4878,-62.7261,25
Aringa,1425,luc,arin1244,gm,Aringa,luc,language,Africa,3.56143,31.3071,49
Aritinngithigh,2909,dth,arit1239,er,Aritinngitigh,dth,language,Australia,-12.50839255,142.138748,22
Armenian,171,hye,nucl1235,spa,Eastern Armenian,hye,language,Eurasia,40,45,37
ARMENIAN,362,hye,nucl1235,upsid,Eastern Armenian,hye,language,Eurasia,40,45,36
Arrarnte,1235,are,west2441,ph,Western Arrarnta,are,language,Australia,-24.05052,133.24621,29
ARRERNTE,201,aer,east2379,upsid,Eastern Arrernte,aer,language,Australia,-23.3583,135.046,30
Arrernte, Central,2158,aer,east2379,uz,Eastern Arrernte,aer,language,Australia,-23.3583,135.046,31
Asháninka,1806,cni,asha1243,saphon,Asháninka,cni,language,South America,-11.9311,-73.9073,22
Asharon,1428,acz,ache1245,gm,Acheron,acz,language,Africa,10.8827,30.3187,38
Ashéninka,1809,cpu,pich1237,saphon,Pichis Ashéninka,cpu,language,South America,-10.47249,-74.60281,116
Ashéninka,1810,cpb,ucay1237,saphon,Ucayali-Yurúa Ashéninka,cpb,language,South America,-9.49424,-73.1836,116
Ashéninka,1807,cpc,ajyi1238,saphon,Ajyíninka Apurucayali,cpc,language,South America,-9.82364,-74.61947,116
Ashéninka,1808,prq,ashe1272,saphon,Ashéninka Perené,prq,language,South America,-10.9777,-74.9153,116
ASHUSLAY,270,cag,niva1238,upsid,Nivaclé,cag,language,South America,-22.8557,-61.7606,28
Asmat,54,tml,tamn1235,spa,Tamnim Citak,tml,language,Papunesia,-5.57962,139.233,19
ASMAT,582,tml,tamn1235,upsid,Tamnim Citak,tml,language,Papunesia,-5.57962,139.233,17
Assamese,1706,asm,assa1263,ra,Assamese,asm,language,Eurasia,26.0876,91.2932,106
Assamese,2159,asm,assa1263,uz,Assamese,asm,language,Eurasia,26.0876,91.2932,106
Asuriní do Tocantins,2074,asu,toca1235,saphon,Tocantins Asurini,asu,language,South America,-3.59359,-49.8991,16
Asurini do Xingú,2073,asn,xing1248,saphon,Xingú Asuriní,asn,language,South America,-4.13463,-52.321,27
Atampaya,2919,amz,atam1239,er,Atampaya,amz,language,Australia,-11.0018,142.273,26
Atayal,30,tay,atay1247,spa,Atayal,tay,language,Papunesia,24.5209,121.388,51
Atayal,2373,tay,atay1247,ea,Atayal,tay,language,Papunesia,24.5209,121.388,51
ATAYAL,562,tay,atay1247,upsid,Atayal,tay,language,Papunesia,24.5209,121.388,26
Attie,1550,ati,atti1239,gm,Attié,ati,language,Africa,5.9977,-3.8209,47
Au,1169,avt,auuu1241,ph,Au,avt,language,Papunesia,-3.53277,142.105,17
AUCA,232,auc,waor1240,upsid,Waorani,auc,language,South America,-1.12312,-76.683,21
Auyana,57,auy,awiy1238,spa,Awiyaana,auy,language,Papunesia,-6.54079,145.76,20
Avá-Canoeiro,2075,avv,avac1239,saphon,Avá-Canoeiro,avv,language,South America,-13.6081,-48.1336,24
AVAR,233,ava,avar1256,upsid,Avar,ava,language,Eurasia,41.7047,46.558,49
Avatime,1296,avn,avat1244,gm,Avatime,avn,language,Africa,6.8688,0.41314,50
Avikam,1358,avi,avik1243,gm,Avikam,avi,language,Africa,5.15838,-5.2529,34
Avokaya,660,avu,avok1242,aa,Avokaya,avu,language,Africa,4.38639,29.9379,55
Awa-Cuaiquer,1853,kwi,awac1239,saphon,Awa-Cuaiquer,kwi,language,South America,1.21652,-78.3401,26
Awa Pit,1120,kwi,awac1239,ph,Awa-Cuaiquer,kwi,language,South America,1.21652,-78.3401,21
Awabakal,2987,awk,awab1243,er,Awabakal,awk,language,Australia,-33.12847,151.43555,16
Awadhi,1707,awa,awad1243,ra,Awadhi,awa,language,Eurasia,27.5907,82.4663,45
Awara,1175,awx,awar1248,ph,Awara,awx,language,Papunesia,-6.16986,146.372,25
Awetí,2076,awe,awet1244,saphon,Awetí,awe,language,South America,-12.381944,-53.391944,26
Awing,1176,azo,awin1248,ph,Awing,azo,language,Africa,5.88362,10.264,56
Awiya,128,awn,awng1244,spa,Awngi,awn,language,Africa,10.9819,36.6916,39
AWIYA,234,awn,awng1244,upsid,Awngi,awn,language,Africa,10.9819,36.6916,35
Awngi,1542,awn,awng1244,gm,Awngi,awn,language,Africa,10.9819,36.6916,39
Awtuw,1177,kmn,awtu1239,ph,Awtuw,kmn,language,Papunesia,-3.53129,141.928,18
Awu Alaya,2881,typ,thay1248,er,Thaypan,typ,language,Australia,-14.8292,143.324,31
Ayacucho Quechua,2032,quy,ayac1239,saphon,Ayacucho Quechua,quy,language,South America,-13.84714,-74.32246,17
Ayapathu,2898,ayd,ayab1239,er,Yintyinka-Ayabadhu,ayd,language,Australia,-14.6652,142.893,25
Ayerrerenge,2707,axe,ayer1246,er,Ayerrerenge,axe,dialect,Australia,NA,NA,43
Aymara,1851,ayr,cent2142,saphon,Central Aymara,ayr,language,South America,-17,-68.5,105
Aymara,105,jqr,jaqa1244,spa,Jaqaru,jqr,language,South America,-12.741939,-75.809231,105
Aymara,2145,ayr,cent2142,saphon,Central Aymara,ayr,language,South America,-17,-68.5,105
Ayoreo,2137,ayo,ayor1240,saphon,Ayoreo,ayo,language,South America,-19.220055,-60.217495,30
AZANDE,645,zne,zand1248,upsid,Zande,zne,language,Africa,4.62047,26.7157,35
Azerbaijani,187,azj,nort2697,spa,North Azerbaijani,azj,language,Eurasia,40.9777,46.4737,34
AZERBAIJANI,236,azj,nort2697,upsid,North Azerbaijani,azj,language,Eurasia,40.9777,46.4737,33
Aʔɨwa,1923,ash,abis1238,saphon,Aewa,ash,language,South America,-1.284096,-75.084405,27
Baanbay,2734,kgs,kumb1268,er,Kumbainggar,kgs,language,Australia,-29.8189,152.913,19
Baba,1178,bbw,baba1264,ph,Baba,bbw,language,Africa,6.11222,10.5216,30
Babanki,1179,bbk,baba1266,ph,Babanki,bbk,language,Africa,5.97863,10.2869,33
babole,1247,bvx,dibo1245,gm,Dibole,bvx,language,Africa,1.07773,17.2305,31
Babungo,661,bav,veng1238,aa,Vengo,bav,language,Africa,6.11403,10.4137,82
Badaga,1708,bfq,bada1257,ra,Badaga,bfq,language,Eurasia,11.3094,76.5974,38
Bade,1437,bde,bade1248,gm,Bade,bde,language,Africa,12.789,10.6557,46
Badimaya,2768,bia,badi1246,er,Badimaya,bia,language,Australia,-29.0647,117.246,23
Bafia,1444,ksf,bafi1243,gm,Bafia,ksf,language,Africa,4.72603,11.0982,51
Bafo,926,bwt,bafa1247,ph,Bafaw-Balong,bwt,language,Africa,4.53307,9.522,47
Bafut,662,bfd,bafu1246,aa,Bafut,bfd,language,Africa,6.14153,10.1194,49
Baga Koga; Koba; Barka,1060,bgo,baga1273,ph,Baga Koga,bgo,language,Africa,10.1286,-13.947,25
Baga Sitem,1199,bsp,baga1272,ph,Baga Sitemu,bsp,language,Africa,10.4793,-14.4756,26
Bagirmi,1469,bmi,bagi1246,gm,Bagirmi,bmi,language,Africa,11.52392,14.769495,48
BAI,244,bca,cent2004,upsid,Central Bai,bca,language,Eurasia,26.1666,99.7052,29
Baima,2346,bqh,baim1244,ea,Baima,bqh,language,Eurasia,33.1001,103.952,66
BAINING,267,byx,qaqe1238,upsid,Qaqet,byx,language,Papunesia,-4.45258,151.702,22
Bajau, West Coast; Land Bajaw; West Coast Bajao,1081,bdr,west2560,ph,West Coast Bajau,bdr,language,Papunesia,6.00631,116.124,23
baka,1249,bdh,baka1274,gm,Baka (Sudan),bdh,language,Africa,4.65943,29.59,46
Baka,1574,bkc,baka1272,gm,Baka (Cameroon),bkc,language,Africa,2.16013,13.7804,73
Baka,663,bkc,baka1272,aa,Baka (Cameroon),bkc,language,Africa,2.16013,13.7804,73
BAKAIRI,254,bkq,baka1277,upsid,Bakairí,bkq,language,South America,-14.2628,-54.7034,29
Bakairí,1865,bkq,baka1277,saphon,Bakairí,bkq,language,South America,-14.2628,-54.7034,58
Bakairí,1866,bkq,baka1277,saphon,Bakairí,bkq,language,South America,-14.2628,-54.7034,58
Bakaka (Babong),1556,bqz,baka1273,gm,Bakaka,bqz,language,Africa,4.79991,9.80402,31
Bakaka (Mkaa'),1557,bqz,baka1273,gm,Bakaka,bqz,language,Africa,4.79991,9.80402,32
