ItemID,Participant,Block,TrialOrder,Response,RT,Session,Item_Pinyin,ASCII
42,8,7,990,1,914,1,riao3,riau3
42,20,5,688,1,23,1,riao3,riau3
42,22,8,1130,1,1519,1,riao3,riau3
43,2,8,1241,1,1472,1,piei3,Piei3
43,20,5,680,1,2,1,piei3,Piei3
43,1,4,494,0,706,1,piei3,Piei3
43,8,2,192,1,1198,1,piei3,Piei3
43,22,5,642,0,871,1,piei3,Piei3
44,22,1,158,1,2899,1,king1,KiN1
44,8,9,1309,0,768,1,king1,KiN1
44,2,10,1527,0,935,1,king1,KiN1
44,1,1,44,0,1029,1,king1,KiN1
44,20,7,1099,1,14,1,king1,KiN1
45,1,10,1558,0,975,1,zhia3,Zia3
45,20,8,1247,1,9,1,zhia3,Zia3
45,8,9,1292,0,929,1,zhia3,Zia3
45,2,3,479,0,7,1,zhia3,Zia3
45,22,2,258,0,3050,1,zhia3,Zia3
46,2,6,949,0,737,1,siai2,siai2
46,8,5,726,0,1900,1,siai2,siai2
46,20,3,387,1,237,1,siai2,siai2
46,1,8,1226,0,393,1,siai2,siai2
46,22,1,87,0,2049,1,siai2,siai2
47,20,7,1061,1,178,1,jvou4,jyou4
47,8,6,817,0,820,1,jvou4,jyou4
47,1,10,1540,0,406,1,jvou4,jyou4
47,22,6,884,1,2701,1,jvou4,jyou4
47,2,4,584,0,1854,1,jvou4,jyou4
48,20,10,1529,1,140,1,pvn3,Pyn3
48,22,6,907,0,2446,1,pvn3,Pyn3
48,8,3,335,0,1382,1,pvn3,Pyn3
48,1,4,500,0,884,1,pvn3,Pyn3
48,2,2,186,0,2736,1,pvn3,Pyn3
49,8,7,1021,1,356,1,siao4,siau4
49,1,8,1191,0,466,1,siao4,siau4
49,20,2,168,1,231,1,siao4,siau4
49,22,2,305,1,3331,1,siao4,siau4
49,2,9,1358,0,1704,1,siao4,siau4
50,2,3,354,0,1292,1,die4,ti^4
50,1,9,1283,0,463,1,die4,ti^4
50,20,10,1448,1,240,1,die4,ti^4
50,22,10,1581,0,643,1,die4,ti^4
50,8,4,522,0,2376,1,die4,ti^4
51,22,5,663,0,1290,1,hiong1,hyoN1
51,8,5,799,0,1476,1,hiong1,hyoN1
51,20,4,541,1,354,1,hiong1,hyoN1
51,1,1,141,0,1497,1,hiong1,hyoN1
51,2,2,179,1,1069,1,hiong1,hyoN1
52,2,2,177,1,1952,1,mong3,muoN3
52,22,6,906,1,2306,1,mong3,muoN3
52,1,7,1017,0,1164,1,mong3,muoN3
52,20,10,1454,1,72,1,mong3,muoN3
52,8,8,1172,1,937,1,mong3,muoN3
53,1,3,352,0,768,1,fvang4,fyaN4
53,8,5,703,0,896,1,fvang4,fyaN4
53,22,4,597,0,2095,1,fvang4,fyaN4
53,2,1,123,0,2701,1,fvang4,fyaN4
53,20,7,1056,1,18,1,fvang4,fyaN4
54,22,3,331,1,1500,1,shia4,Sia4
54,20,1,89,1,253,1,shia4,Sia4
54,1,6,941,0,1089,1,shia4,Sia4
54,8,8,1239,0,1168,1,shia4,Sia4
54,2,2,224,0,2660,1,shia4,Sia4
55,20,8,1249,1,244,1,gvai1,kyai1
55,8,2,309,1,2589,1,gvai1,kyai1
55,22,4,589,1,1864,1,gvai1,kyai1
55,2,7,1006,0,1572,1,gvai1,kyai1
55,1,2,298,0,1483,1,gvai1,kyai1
56,8,8,1253,1,752,1,hva2,hya2
56,20,9,1367,1,107,1,hva2,hya2
56,22,2,284,0,2532,1,hva2,hya2
56,2,4,580,0,3079,1,hva2,hya2
56,1,6,957,0,1496,1,hva2,hya2
57,22,7,969,0,1437,1,dvo2,tyo2
57,8,4,632,0,2438,1,dvo2,tyo2
57,2,3,444,0,1271,1,dvo2,tyo2
57,20,3,473,1,152,1,dvo2,tyo2
57,1,5,755,0,454,1,dvo2,tyo2
58,1,7,1021,0,750,1,gian1,ki[n1
